sampleID;CLEC3A;CPB1;SCGB2A2;SCGB1D2;TFF1;MUCL1;GSTM1;PIP;ADIPOQ;ADH1B;HMGCS2;S100A7;CYP2B7P1;TAT;ANKRD30A;PRAME;CYP4Z1;SERPINA6;AGR3;UGT2B11;MUC6;KCNJ3;TFAP2B;MYBPC1;DHRS2;C4orf7;SLC30A8;KRT14;SOX10;STAC2;GABRP;CEACAM5;KRT5;COL2A1;TUSC5;GP2;VSTM2A;CALML5;GSTT1;FABP7;LEP;C1orf64;TFF3;PIGR;CRABP1;CST1;MUC5B;SYT13;GRIA2;KRT6B;PAM50_Label
TCGA-BH-A0H9-01;13.4419;14.296;7.351;4.2468;12.6305;11.594;0.8334;8.6834;11.3243;10.8914;8.1118;5.2234;12.4105;5.3394;8.2236;8.9312;3.3762;9.3426;9.1712;6.2619;3.4295;10.9678;8.27;2.5088;5.8405;0.4761;13.9064;10.1156;6.6141;7.4152;8.124;5.1299;10.1363;7.0312;7.8681;8.8782;9.6631;12.0123;9.6595;2.2956;6.6816;7.0779;12.6486;7.5656;4.3881;7.2322;14.6069;9.4055;6.8524;7.4703;LumA
TCGA-BH-A0HA-01;7.7688;19.4432;1.7309;1.7309;13.9432;7.2324;9.6502;12.2029;8.0369;7.9174;0.5498;2.3715;11.2674;2.6094;10.0004;2.6094;2.6094;0.947;10.326;0.5498;4.5402;9.6725;4.3233;1.9196;6.8175;2.0865;6.661;11.0909;6.1221;4.5111;6.5583;5.3862;11.6457;2.9058;6.0124;9.1889;0.128;3.8532;9.9687;2.236;1.9196;8.3959;13.0168;6.6208;1.9196;4.2895;10.2042;7.9744;11.3312;7.0625;LumA
TCGA-BH-A0HA-11;1.5982;3.2503;8.4717;7.935;7.1551;13.1174;9.5862;10.1919;8.0163;9.2643;9.135;0.4911;3.6735;11.5355;9.1077;3.8863;5.8824;4.4914;7.5131;3.6735;8.9987;4.3551;9.4755;9.0471;4.2045;7.8538;5.3484;13.7237;12.1222;12.4978;13.8214;0.0;14.5347;9.1475;6.256;3.4774;0.0;9.9263;8.5674;7.9157;2.5524;6.6254;6.5273;14.7414;10.4276;0.0;7.551;6.7228;5.6222;7.5195;Normal
TCGA-BH-A0HB-01;7.9832;14.1906;11.7778;8.5228;11.9265;9.6346;3.5262;6.6089;9.9038;9.9898;5.0252;4.3651;5.3297;5.8676;10.385;4.2246;4.2966;0.9683;12.7177;0.5638;0.5638;7.1794;3.9842;0.5638;12.5533;3.7478;3.7983;11.3814;4.6388;4.2966;6.8312;9.149;13.9756;13.3366;7.5136;4.4622;12.1776;5.9481;9.2533;0.0;6.5875;11.1577;12.2982;6.1166;5.8196;6.819;4.0688;9.4953;0.0;11.4227;LumA
TCGA-BH-A0HF-01;15.9827;11.9433;16.8398;13.7973;8.7006;9.3824;4.678;14.047;11.0408;10.9823;9.1364;4.8445;11.4968;10.1085;9.9648;4.9526;12.894;6.9173;11.4786;12.3774;5.9502;4.8887;6.0988;6.0412;7.1934;2.6706;7.4137;11.9437;7.0103;7.4803;8.7879;10.8935;15.3701;3.4383;8.2909;6.4032;0.5334;8.2512;9.5775;3.8939;6.5755;10.8144;9.955;9.2782;4.1696;5.7609;11.7418;4.6526;9.5884;12.5541;LumA
TCGA-BH-A0HI-01;9.2677;15.8277;15.6324;14.3498;13.0683;3.1839;1.4637;13.594;4.5111;5.1482;10.6189;0.0;10.8516;6.8622;9.7965;0.4347;13.0078;9.7495;12.5246;1.6369;0.7683;9.5131;8.833;0.0;3.7718;2.2834;14.4347;8.4764;4.1883;4.2159;7.3341;10.2926;8.6519;1.931;2.384;12.0027;8.3513;7.7061;10.7639;0.0;2.5664;10.1592;12.6058;7.9076;2.7282;10.7945;13.1458;11.1861;9.8967;6.2527;LumA
TCGA-BH-A0HK-01;0.0;1.3677;3.3157;2.5215;13.0692;2.6482;11.5998;9.8278;12.0333;12.7181;15.2691;3.825;12.8458;3.7703;8.9302;3.4608;7.3512;0.0;11.3603;0.0;2.5215;0.6106;10.8646;9.2441;11.3758;2.7646;4.3938;10.291;3.5927;4.2414;5.5333;9.3457;14.3172;0.0;10.0804;8.6028;0.0;5.4313;10.1768;0.0;10.0542;2.229;9.3328;9.4634;4.6574;4.1587;3.825;1.3677;0.0;11.5246;LumA
TCGA-BH-A0HK-11;5.6628;12.5629;13.5315;11.9732;8.926;13.038;10.3686;13.7303;10.3049;12.9553;11.3041;0.8047;7.0162;11.7104;6.4957;1.3182;10.454;8.3497;9.896;6.8999;7.0613;1.3182;9.5828;10.5776;6.8157;10.9678;1.3182;15.5889;10.753;13.2942;12.4233;5.8045;15.5764;6.1462;8.9138;8.6724;0.4578;6.3776;10.263;7.8236;8.5642;7.9618;9.6147;12.6215;8.1173;0.8047;9.0481;4.8206;4.154;12.0289;Normal
TCGA-BH-A0HL-01;0.0;18.6211;4.9552;6.3795;7.9633;2.8082;0.3787;3.2336;6.1908;5.4571;5.2901;0.0;5.376;1.7663;11.2492;0.3787;1.138;4.5182;12.5917;5.2934;1.633;2.2936;0.0;0.0;13.5767;0.0;6.7289;2.1051;0.9265;1.7663;0.9265;10.4237;0.0;8.6727;4.0009;4.662;12.4263;4.5739;9.878;0.0;3.4069;5.1385;11.8836;0.0;0.3787;0.0;10.8923;12.9096;6.4653;0.0;LumA
TCGA-BH-A0HN-01;0.0;0.5748;10.8113;8.925;12.787;4.2928;3.6721;17.1371;0.0;0.0;9.6427;0.0;14.14;0.5748;11.484;3.4316;7.433;4.0156;12.5765;11.5759;13.7418;0.0;11.8954;5.3451;6.3184;0.0;1.3036;4.2928;1.5646;0.0;2.5594;11.7937;4.8772;4.6984;0.0;9.026;0.5748;8.0083;0.0;0.0;0.0;9.2811;14.8586;2.9732;2.7811;6.0572;4.4302;9.3014;0.0;2.1461;LumA
TCGA-BH-A0HO-01;0.0;20.2819;5.0049;3.6548;10.7839;5.682;10.7888;14.8696;9.292;9.2782;7.24;0.0;10.7851;2.9078;9.7979;0.6467;11.5951;12.369;10.8288;1.7059;1.9366;10.8608;2.3101;6.7686;0.8863;0.0;14.4417;7.5905;3.999;2.8523;6.033;8.2607;7.5033;1.0917;6.3802;10.1283;0.0;2.6066;9.5732;2.1354;6.4425;4.6131;12.9443;4.8294;1.9366;8.0705;3.446;1.2714;11.8306;4.7407;LumA
TCGA-BH-A0HP-01;2.3741;5.9199;17.1546;14.7579;9.1855;7.5372;4.6702;13.0996;9.2616;8.825;10.9085;1.1937;8.339;4.5564;10.0352;1.1937;9.0822;0.4026;11.3514;9.8791;1.5514;0.4026;11.97;6.5745;7.1231;5.8411;0.4026;11.3063;8.2211;7.6911;8.9875;4.936;11.836;3.7258;7.0159;7.8764;2.625;4.9808;0.7169;3.7943;5.7404;11.056;11.9339;9.8463;7.2985;10.1699;10.2886;7.9757;1.5514;7.8824;LumA
TCGA-BH-A0HQ-01;10.8652;6.1715;16.4413;14.955;12.7344;9.0922;4.1775;8.0889;6.1715;5.7083;10.7257;1.4852;9.7592;6.6756;9.7947;0.0;11.4154;0.536;11.1853;4.5539;11.7105;0.0;12.655;4.807;8.17;7.7937;5.5649;11.848;8.4348;8.934;9.9091;8.4664;12.0122;4.4979;3.6143;12.5007;1.2324;5.1554;9.0827;5.3746;1.7002;10.3839;13.8482;9.299;4.1412;5.9894;9.3367;7.4994;2.7758;9.5404;LumA
TCGA-BH-A0HU-01;13.2792;12.4938;14.2432;12.4648;12.7592;6.221;2.0088;11.689;8.6818;7.8572;7.4981;0.0;12.9202;1.5928;8.8126;9.6122;4.5555;13.7542;11.1997;4.7805;1.883;5.1946;7.0003;2.3313;9.8959;1.7452;5.7485;7.3982;3.2329;2.2316;5.9104;8.6016;7.7665;1.0059;6.3335;8.9464;0.5986;4.9342;8.9045;0.418;5.6744;9.7549;11.5649;8.6141;6.0776;12.4237;11.4024;9.9537;7.2211;5.6553;LumB
TCGA-BH-A0HW-01;0.0;11.3058;4.8229;4.0384;6.6668;6.1625;1.6217;2.8544;4.3843;3.9854;0.375;0.0;11.0714;10.5587;8.2209;0.0;0.375;0.9186;11.1719;4.6785;2.2804;9.3391;0.375;8.1638;8.1978;0.0;0.9186;1.9883;1.3125;0.9186;2.4467;4.7768;1.7545;15.4468;0.9186;1.3125;4.1677;2.4467;0.0;0.0;0.6722;10.5263;10.0338;0.375;0.0;4.5579;1.7545;6.5978;8.1638;2.6649;LumB
TCGA-BH-A0HX-01;0.466;16.762;4.645;3.8425;10.1101;6.5433;8.8729;5.4497;10.0355;8.5914;4.0225;2.5745;11.9613;6.8598;9.9843;9.7774;5.0622;6.8116;11.3065;5.3975;0.0;10.612;3.1086;0.466;6.4954;3.6367;5.2328;9.2632;3.2883;3.7636;5.8244;10.507;13.1031;14.2911;7.4343;7.5056;0.0;3.9172;9.3116;1.8754;5.2617;7.3525;11.7853;4.751;3.9882;9.3883;2.9751;7.6901;3.0434;10.3523;LumA
TCGA-BH-A0HY-01;2.9293;8.1871;17.7245;13.0129;10.0157;6.0699;1.0724;7.7676;9.7349;10.4061;4.7207;1.6807;2.7829;1.6807;8.5798;5.5977;9.4009;0.0;4.3822;0.0;1.6807;3.4004;12.1648;1.505;5.2805;0.4516;2.2254;8.2787;2.3346;6.1011;3.184;3.7151;8.6488;2.6199;7.8686;1.3049;0.0;8.0597;9.2849;0.0;4.9947;3.6319;12.7325;1.0724;6.3027;2.3346;2.5309;4.4805;2.4361;6.6371;LumB
TCGA-BH-A0RX-01;8.1732;7.8478;7.105;5.3956;4.026;4.914;7.7835;4.2954;8.8536;9.0485;3.0299;3.1119;1.9512;0.5635;4.364;9.5938;4.186;0.0;6.6077;1.283;3.3333;0.9677;6.3532;2.5307;5.1652;7.9738;0.5635;10.3688;11.5264;11.2608;11.9344;0.5635;12.5372;11.9761;6.2483;1.9512;0.0;6.1739;9.66;10.5443;4.6096;3.4001;5.9015;9.9729;12.4382;9.4912;10.0254;6.2209;5.1843;14.6981;Basal
TCGA-BH-A0W3-01;15.5553;9.5282;12.3591;9.4588;11.8255;5.9755;0.9094;12.7156;7.2107;6.3772;11.5722;0.0;13.7401;5.9243;11.6523;11.0829;15.0714;5.711;11.4838;12.4391;5.0082;9.4749;11.0009;1.4629;13.5228;0.0;3.733;1.6762;2.5437;2.3082;3.4726;12.2352;5.3563;6.8144;4.9682;10.7787;0.5253;10.1782;9.7319;0.5253;2.6485;10.1902;12.0001;3.1546;0.0;5.8383;11.6321;12.9588;10.5212;2.1742;LumB
TCGA-BH-A0W4-01;0.0;7.165;7.6078;6.0446;10.4654;7.5498;1.5467;5.7845;11.899;11.4834;5.6712;2.8884;4.9137;8.716;10.8051;0.7141;5.2167;1.3792;10.9005;0.9714;8.7127;1.1896;11.0038;5.1003;9.5576;0.0;1.5467;11.11;7.6749;8.24;6.7371;3.1709;12.065;6.2588;9.0578;8.4288;2.7387;2.688;10.4817;3.6471;8.2293;9.4328;11.2819;4.1932;2.1772;4.8186;6.5076;6.1196;0.0;9.4207;LumA
