MCM10,THSD4
8.3557,9.4278
6.1688,10.4432
7.1414,8.9308
9.0942,7.2177
8.3232,11.8877
6.3151,9.7955
8.3963,11.0035
8.3158,10.2122
7.4108,8.24
7.7162,11.8318
9.3842,11.7521
8.0772,7.9453
8.9487,10.4289
7.332,11.0428
8.0129,9.2509
8.6817,10.3102
8.9198,8.0568
8.4249,9.6167
7.6207,11.6863
8.4298,11.0248
7.2806,9.8751
9.2934,11.5167
8.0479,8.5481
8.9458,8.4945
6.7966,9.2945
7.9281,12.5433
9.0477,11.1649
7.7821,9.8698
11.9903,10.1263
8.7404,10.6894
7.8403,10.3008
11.3688,9.9665
6.5099,10.1345
8.7486,10.6209
9.1439,4.9459
8.429,12.7064
7.6691,10.0457
7.2404,10.1442
8.507,12.038
8.4642,11.2806
7.3177,9.9889
6.8682,9.0791
4.6343,11.4101
8.6791,8.7232
8.1641,10.49
7.5911,12.0885
8.8131,12.1188
9.1769,11.2761
7.2937,11.0691
8.7492,8.6889
6.9192,10.9412
9.0736,9.3035
7.2698,10.506
8.4064,9.7589
8.8977,12.5605
8.7123,8.1542
8.2189,10.1313
9.5436,9.0468
8.9466,5.2201
7.2286,9.3678
10.5219,6.9413
8.8634,6.803
7.5422,8.0892
7.8659,9.2844
8.6356,10.5527
5.6748,8.2181
7.8724,7.6042
3.8456,10.7914
6.7197,12.0302
7.8868,10.5774
7.8171,9.514
7.593,11.9602
7.0726,12.1928
4.5473,11.736
7.3089,13.0135
6.7269,12.0339
6.6409,12.2841
5.9107,12.0897
7.2076,13.0983
3.4159,12.0041
6.5208,10.6893
4.1801,10.7424
7.67,12.3064
6.2643,11.1827
4.0152,11.6107
7.212,11.9863
5.7181,12.8427
4.949,11.4304
4.3027,11.7566
5.7029,12.5409
6.8628,11.8672
6.7537,11.0809
7.746,9.9389
6.5347,11.0224
7.2681,9.7868
6.7509,10.9153
7.321,11.1705
7.7053,11.6432
6.1439,10.8785
4.1539,12.7721
9.2213,10.6839
7.4404,9.8479
8.721,13.315
6.7933,13.5389
6.8713,11.6716
8.76,12.0999
6.6938,12.6983
7.9864,11.6881
7.0253,11.7394
6.6573,12.9087
8.2945,10.7794
8.6048,10.1658
7.5248,12.9791
9.8728,11.6055
6.0856,13.3417
7.3419,11.1926
7.0821,9.5904
9.1201,11.8826
7.3185,13.8245
5.5002,12.6345
7.6938,13.5817
6.9111,12.0314
5.8372,13.6063
7.7806,10.0743
8.4666,12.6392
8.3992,12.6896
9.6414,8.5202
6.2386,13.0332
7.5491,12.9952
6.5206,10.1277
6.9126,11.9286
8.2117,12.3186
7.7986,10.7018
8.2238,10.7448
9.5504,11.826
6.4497,8.5624
7.6211,11.0215
6.3389,12.4517
8.7885,13.2131
8.3059,13.3296
6.2892,11.4246
8.4586,12.3563
7.2211,11.8439
7.5218,12.6972
8.1489,13.0386
9.0262,12.3416
8.7267,11.7216
6.5899,13.9324
8.5578,9.5483
8.2554,11.1104
6.7416,11.6228
8.3318,9.8347
8.3044,11.1222
6.0224,11.9578
7.3066,12.1105
5.7691,11.8682
7.9241,9.7045
8.0588,12.7121
6.0805,11.8563
5.6565,12.5119
6.3025,12.0046
8.5525,12.6083
10.3624,10.8522
6.1005,12.2231
8.8214,10.9655
5.8123,10.9125
8.1017,12.5286
8.8299,11.7141
8.556,13.0753
9.4313,10.7787
8.4888,10.9727
7.243,9.0423
7.3636,12.6067
7.68,12.3367
7.4931,11.618
8.2444,12.0365
8.409,9.8029
7.7865,13.9333
8.7419,10.3168
7.1387,11.7977
7.3905,11.0871
7.6874,10.3959
5.3608,11.6321
8.5933,12.8124
9.1905,10.0808
6.6344,12.6879
7.2416,12.5345
6.451,11.4056
8.5765,10.7942
7.9317,13.0648
9.2484,8.305
9.6718,11.3359
8.3688,12.6245
8.6839,12.0682
6.0403,13.218
4.9703,11.328
6.8979,10.2557
6.2604,11.2617
7.4342,12.4269
7.9907,11.8558
8.2123,12.0768
8.6467,11.3998
8.5992,10.1857
7.7613,11.0373
10.4781,11.5712
8.5223,10.8331
5.5241,12.6219
7.3125,12.191
